combinacion;num1;num2;num3;num4;num5
16240;1;6;2;4;0
16402;1;6;4;0;2
16420;1;6;4;2;0
20146;2;0;1;4;6
20164;2;0;1;6;4
20416;2;0;4;1;6
20461;2;0;4;6;1
20614;2;0;6;1;4
20641;2;0;6;4;1
21046;2;1;0;4;6
21064;2;1;0;6;4
21406;2;1;4;0;6
21460;2;1;4;6;0
21604;2;1;6;0;4
21640;2;1;6;4;0
24016;2;4;0;1;6
24061;2;4;0;6;1
24106;2;4;1;0;6
24160;2;4;1;6;0
24601;2;4;6;0;1
24610;2;4;6;1;0
26014;2;6;0;1;4
26041;2;6;0;4;1
26104;2;6;1;0;4
26140;2;6;1;4;0
26401;2;6;4;0;1
26410;2;6;4;1;0
40126;4;0;1;2;6
40162;4;0;1;6;2
40216;4;0;2;1;6
40261;4;0;2;6;1
40612;4;0;6;1;2
40621;4;0;6;2;1
41026;4;1;0;2;6
41062;4;1;0;6;2
41206;4;1;2;0;6
41260;4;1;2;6;0
41602;4;1;6;0;2
41620;4;1;6;2;0
42016;4;2;0;1;6
42061;4;2;0;6;1
42106;4;2;1;0;6
42160;4;2;1;6;0
42601;4;2;6;0;1
42610;4;2;6;1;0
46012;4;6;0;1;2
46021;4;6;0;2;1
46102;4;6;1;0;2
46120;4;6;1;2;0
46201;4;6;2;0;1
46210;4;6;2;1;0
60124;6;0;1;2;4
60142;6;0;1;4;2
60214;6;0;2;1;4
60241;6;0;2;4;1
60412;6;0;4;1;2
60421;6;0;4;2;1
61024;6;1;0;2;4
61042;6;1;0;4;2
61204;6;1;2;0;4
61240;6;1;2;4;0
61402;6;1;4;0;2
61420;6;1;4;2;0
62014;6;2;0;1;4
62041;6;2;0;4;1
62104;6;2;1;0;4
62140;6;2;1;4;0
62401;6;2;4;0;1
62410;6;2;4;1;0
64012;6;4;0;1;2
64021;6;4;0;2;1
64102;6;4;1;0;2
64120;6;4;1;2;0
64201;6;4;2;0;1
64210;6;4;2;1;0
01247;0;1;2;4;7
01274;0;1;2;7;4
01427;0;1;4;2;7
01472;0;1;4;7;2
01724;0;1;7;2;4
01742;0;1;7;4;2
02147;0;2;1;4;7
02174;0;2;1;7;4
02417;0;2;4;1;7
02471;0;2;4;7;1
02714;0;2;7;1;4
02741;0;2;7;4;1
04127;0;4;1;2;7
04172;0;4;1;7;2
04217;0;4;2;1;7
04271;0;4;2;7;1
04712;0;4;7;1;2
04721;0;4;7;2;1
07124;0;7;1;2;4
07142;0;7;1;4;2
07214;0;7;2;1;4
07241;0;7;2;4;1
07412;0;7;4;1;2
07421;0;7;4;2;1
10247;1;0;2;4;7
10274;1;0;2;7;4
10427;1;0;4;2;7
10472;1;0;4;7;2
10724;1;0;7;2;4
10742;1;0;7;4;2
12047;1;2;0;4;7
12074;1;2;0;7;4
12407;1;2;4;0;7
12470;1;2;4;7;0
12704;1;2;7;0;4
12740;1;2;7;4;0
14027;1;4;0;2;7
14072;1;4;0;7;2
14207;1;4;2;0;7
14270;1;4;2;7;0
